시점,동(호)수 (동(호)수),면적 (천㎡)
2015.01,10,1
2015.02,6,1
2015.03,8,1
2015.04,8,1
2015.05,13,1
2015.06,13,1
2015.07,13,1
2015.08,9,2
2015.09,10,1
2015.1,9,1
2015.11,16,2
2015.12,17,3
2016.01,9,1
2016.02,10,0
2016.03,12,1
2016.04,17,1
2016.05,15,1
2016.06,14,1
2016.07,16,2
2016.08,11,1
2016.09,14,1
2016.1,19,2
2016.11,23,1
2016.12,23,1
2017.01,14,1
2017.02,17,1
2017.03,9,1
2017.04,22,2
2017.05,23,3
2017.06,20,3
2017.07,11,1
2017.08,21,1
2017.09,18,1
2017.1,28,2
2017.11,14,1
2017.12,30,3
2018.01,17,1
2018.02,19,3
2018.03,33,3
2018.04,31,3
2018.05,37,3
2018.06,29,3
2018.07,25,2
2018.08,24,2
2018.09,15,2
2018.1,20,1
2018.11,34,2
2018.12,23,2
2019.01,10,1
2019.02,15,2
2019.03,11,1
2019.04,19,1
2019.05,21,1
2019.06,12,1
2019.07,25,2
2019.08,13,1
2019.09,26,2
2019.1,17,1
2019.11,27,2
2019.12,22,2
2020.01,20,2
2020.02,18,1
2020.03,29,2
2020.04,28,2
2020.05,21,2
2020.06,36,2
2020.07,31,2
2020.08,28,3
2020.09,35,2
2020.1,27,2
2020.11,30,2
2020.12,22,2
2021.01,19,1
2021.02,20,1
2021.03,40,4
2021.04,31,2
2021.05,39,2
2021.06,39,7
2021.07,47,4
2021.08,48,3
2021.09,41,4
2021.1,47,3
2021.11,42,2
2021.12,25,2
2022.01,23,1
2022.02,27,2
2022.03,43,3
2022.04,35,2
2022.05,43,3
2022.06,72,5
2022.07,24,2
2022.08,37,3
2022.09,31,3
2022.1,22,1
2022.11,30,2
2022.12,32,4
2023.01,29,5
2023.02,40,2
2023.03,40,3
2023.04,38,2
2023.05,47,3
