시점,필지 (필지),면적 (천㎡)
2015.01,13,1
2015.02,6,1
2015.03,12,5
2015.04,10,1
2015.05,13,1
2015.06,20,12
2015.07,17,1
2015.08,12,4
2015.09,12,2
2015.1,11,2
2015.11,27,13
2015.12,26,6
2016.01,13,6
2016.02,11,0
2016.03,16,8
2016.04,19,34
2016.05,27,7
2016.06,17,11
2016.07,23,46
2016.08,14,3
2016.09,14,0
2016.1,20,1
2016.11,25,2
2016.12,27,32
2017.01,16,3
2017.02,22,5
2017.03,18,12
2017.04,34,5
2017.05,27,5
2017.06,39,81
2017.07,16,3
2017.08,34,2
2017.09,23,6
2017.1,28,6
2017.11,17,2
2017.12,37,12
2018.01,22,13
2018.02,23,5
2018.03,36,2
2018.04,32,4
2018.05,44,3
2018.06,36,5
2018.07,38,5
2018.08,32,285
2018.09,17,2
2018.1,23,1
2018.11,35,28
2018.12,25,7
2019.01,14,3
2019.02,23,41
2019.03,17,6
2019.04,30,6
2019.05,24,2
2019.06,17,2
2019.07,29,3
2019.08,19,2
2019.09,44,6
2019.1,18,1
2019.11,33,8
2019.12,49,30
2020.01,31,7
2020.02,20,2
2020.03,31,2
2020.04,28,1
2020.05,27,9
2020.06,44,5
2020.07,35,5
2020.08,33,4
2020.09,38,2
2020.1,30,3
2020.11,34,19
2020.12,24,5
2021.01,20,1
2021.02,29,65
2021.03,46,5
2021.04,34,6
2021.05,43,25
2021.06,45,7
2021.07,51,4
2021.08,51,4
2021.09,47,3
2021.1,54,6
2021.11,54,6
2021.12,46,36
2022.01,44,21
2022.02,30,3
2022.03,45,2
2022.04,66,60
2022.05,65,13
2022.06,88,58
2022.07,26,2
2022.08,37,1
2022.09,39,33
2022.1,30,6
2022.11,35,26
2022.12,43,14
2023.01,34,1
2023.02,51,2
2023.03,53,6
2023.04,49,2
2023.05,51,4
