위생업소구분,업소명,소재지도로명주소,소재지지번주소,전화번호
숙박업(일반),동궁여관,"충청남도 천안시 서북구 성환읍 성환2로 134, 동궁장 2,3층",충청남도 천안시 서북구 성환읍 성환리 280-8 동궁장 ,041-581-9191
숙박업(일반),한양파크장여관,충청남도 천안시 서북구 봉정로 103 (성정동),충청남도 천안시 서북구 성정동 743-5 ,041-574-2002
숙박업(일반),이화모텔,충청남도 천안시 서북구 차돌로 10 (쌍용동),충청남도 천안시 서북구 쌍용동 533-5 ,041-572-7033
숙박업(일반),성거여인숙,충청남도 천안시 서북구 성거읍 성거길 129,충청남도 천안시 서북구 성거읍 저리 52-3 ,041-622-0785
숙박업(일반),금관여관,충청남도 천안시 서북구 입장면 입장로 144,충청남도 천안시 서북구 입장면 하장리 63 ,041-583-5135
숙박업(일반),성신장여관,충청남도 천안시 서북구 성환읍 성환중앙로 18-1,충청남도 천안시 서북구 성환읍 성환리 432-3 ,041-581-2709
숙박업(일반),아리랑모텔,충청남도 천안시 서북구 직산읍 천안대로 1494,충청남도 천안시 서북구 직산읍 삼은리 263-11 ,041-583-0923
숙박업(일반),미니모텔,충청남도 천안시 서북구 서부역10길 31 (성정동),충청남도 천안시 서북구 성정동 193-32 ,041-574-5566
숙박업(일반),로얄파크장여관,충청남도 천안시 서북구 양지8길 10-8 (성정동),충청남도 천안시 서북구 성정동 746-3 ,041-574-3532
숙박업(일반),호텔제이,충청남도 천안시 서북구 양지17길 3 (성정동),충청남도 천안시 서북구 성정동 744-2 ,041-577-7730
숙박업(일반),그린모텔,충청남도 천안시 서북구 성거읍 신월소우길 28,충청남도 천안시 서북구 성거읍 신월리 405-7 ,041-583-2707
숙박업(일반),31텔(삼일텔),충청남도 천안시 서북구 양지8길 10-1 (성정동),충청남도 천안시 서북구 성정동 741-7 ,041-574-9430
숙박업(일반),휴호텔,충청남도 천안시 서북구 양지9길 4 (성정동),충청남도 천안시 서북구 성정동 742-11 ,041-578-8777
숙박업(일반),호텔소풍,충청남도 천안시 서북구 양지9길 8 (성정동),충청남도 천안시 서북구 성정동 742-2 ,041-573-4100
숙박업(일반),우주모텔,충청남도 천안시 서북구 입장면 신덕1길 46,충청남도 천안시 서북구 입장면 신덕리 211-3 ,041-584-1345
숙박업(일반),오투,충청남도 천안시 서북구 성거읍 망향로 351,충청남도 천안시 서북구 성거읍 요방리 160-8 ,041-557-9300
숙박업(일반),로망스모텔,충청남도 천안시 서북구 성거읍 망향로 928,충청남도 천안시 서북구 성거읍 오목리 4-5 ,041-558-8091
숙박업(일반),새마을호텔,충청남도 천안시 서북구 성환읍 천안대로 2374-11,충청남도 천안시 서북구 성환읍 수향리 439-4 ,041-581-1991
숙박업(일반),주식회사천안호텔어반트,충청남도 천안시 서북구 양지8길 10-3 (성정동),충청남도 천안시 서북구 성정동 741-6 ,041-572-1586
숙박업(일반),노보텔,충청남도 천안시 서북구 천안대로 1340 (신당동),충청남도 천안시 서북구 신당동 424-38 ,041-583-3194
숙박업(일반),69호텔,충청남도 천안시 서북구 성거읍 망향로 296,충청남도 천안시 서북구 성거읍 요방리 207-33 ,041-555-7768
숙박업(일반),우진파크,충청남도 천안시 서북구 양지18길 16 (성정동),충청남도 천안시 서북구 성정동 738-7 ,041-572-0057
숙박업(일반),엔유호텔,충청남도 천안시 서북구 양지8길 6 (성정동),충청남도 천안시 서북구 성정동 746-5 ,041-579-8317
숙박업(일반),뉴월드파크장,충청남도 천안시 서북구 성환읍 성환중앙로 43-4,충청남도 천안시 서북구 성환읍 성환리 449-165 ,041-582-2653
숙박업(일반),카라,충청남도 천안시 서북구 성거읍 천흥1길 7,충청남도 천안시 서북구 성거읍 천흥리 492-11 ,041-557-0744
숙박업(일반),강변파크장여관,충청남도 천안시 서북구 입장면 입장로 171,충청남도 천안시 서북구 입장면 유리 119 ,041-584-0307
숙박업(일반),대림파크장여관,충청남도 천안시 서북구 양지10길 48 (성정동),충청남도 천안시 서북구 성정동 743-6 ,041-572-4226
숙박업(일반),씨씨모텔,충청남도 천안시 서북구 성거읍 망향로 405,충청남도 천안시 서북구 성거읍 석교리 165-2 ,041-622-1133
숙박업(일반),칼라모텔,충청남도 천안시 서북구 서부역13길 4 (성정동),충청남도 천안시 서북구 성정동 198-8 ,041-574-9878
숙박업(일반),스카이장여관,충청남도 천안시 서북구 서부역10길 13 (성정동),충청남도 천안시 서북구 성정동 198-16 ,041-574-8448
숙박업(일반),뷰호텔,충청남도 천안시 서북구 부대중앙길 17 (부대동),충청남도 천안시 서북구 부대동 179-1 ,041-553-1791
숙박업(일반),씨티호텔천안관광호텔,충청남도 천안시 서북구 양지21길 42 (성정동),충청남도 천안시 서북구 성정동 734-2 천안관광호텔 ,041-592-0000
숙박업(일반),뷰호텔스탠다드,충청남도 천안시 서북구 부대중앙길 13 (부대동),충청남도 천안시 서북구 부대동 179-6 ,041-553-1791
숙박업(일반),코아장여관,충청남도 천안시 서북구 봉정로 108-4 (성정동),충청남도 천안시 서북구 성정동 198-10 ,041-571-8487
숙박업(일반),다솔파크여관,충청남도 천안시 서북구 봉정로 112-5 (성정동),충청남도 천안시 서북구 성정동 196-23 ,041-572-8951
숙박업(일반),텐모텔,충청남도 천안시 서북구 성거읍 성진로 584,충청남도 천안시 서북구 성거읍 모전리 1 ,041-584-2780
숙박업(일반),이끌림호텔천안지점,충청남도 천안시 서북구 양지10길 38 (성정동),충청남도 천안시 서북구 성정동 744-7 ,041-573-4060
숙박업(일반),씨에프(CF)모텔,충청남도 천안시 서북구 양지10길 49 (성정동),충청남도 천안시 서북구 성정동 742-4 ,041-579-2221
숙박업(일반),애플모텔,충청남도 천안시 서북구 양지10길 34 (성정동),충청남도 천안시 서북구 성정동 745-1 ,041-572-5611
숙박업(일반),칼튼모텔,충청남도 천안시 서북구 양지10길 30 (성정동),충청남도 천안시 서북구 성정동 745-6 ,041-578-0872
숙박업(일반),도로시,충청남도 천안시 서북구 성정공원3길 9 (성정동),충청남도 천안시 서북구 성정동 1449 ,041-561-9710
숙박업(일반),넘버25호텔천안역점,충청남도 천안시 서북구 양지10길 56 (성정동),충청남도 천안시 서북구 성정동 733-9 ,041-572-7884
숙박업(일반),발렌타인,충청남도 천안시 서북구 성정공원7길 25 (성정동),충청남도 천안시 서북구 성정동 1367 ,041-522-6970
숙박업(일반),씨에스플라자호텔,충청남도 천안시 서북구 성정공원6길 54 (성정동),충청남도 천안시 서북구 성정동 1385 ,041-522-4422
숙박업(일반),엘리,충청남도 천안시 서북구 양지15길 59 (성정동),충청남도 천안시 서북구 성정동 746-7 ,041-575-4201
숙박업(일반),앙상블모텔,충청남도 천안시 서북구 양지9길 3 (성정동),충청남도 천안시 서북구 성정동 742-8 ,041-579-5115
숙박업(일반),케이호텔,"충청남도 천안시 서북구 성정공원4길 14, 1동 (성정동)",충청남도 천안시 서북구 성정동 1456 1동 ,041-568-6060
숙박업(일반),비틀즈호텔,"충청남도 천안시 서북구 성정공원5로 53 (성정동, 지하1~지상8층)",충청남도 천안시 서북구 성정동 1394 지하1~지상8층 ,041-622-5353
숙박업(일반),미진실업,충청남도 천안시 서북구 차돌들길 16 (쌍용동),충청남도 천안시 서북구 쌍용동 210-42 ,041-579-1526
숙박업(일반),노블레스호텔,충청남도 천안시 서북구 두정상가7길 15 (두정동),충청남도 천안시 서북구 두정동 1350 ,041-523-8800
숙박업(일반),더블유,충청남도 천안시 서북구 양지10길 32 (성정동),충청남도 천안시 서북구 성정동 745-7 ,041-579-7617
숙박업(일반),샹그리라,충청남도 천안시 서북구 성정공원1길 32 (성정동),충청남도 천안시 서북구 성정동 1311 ,041-551-3384
숙박업(일반),로데오모텔,충청남도 천안시 서북구 성정공원1길 22 (성정동),충청남도 천안시 서북구 성정동 1494 ,041-522-1515
숙박업(일반),카라모텔,충청남도 천안시 서북구 성환읍 성환1로 246,충청남도 천안시 서북구 성환읍 성환리 449-999 ,
숙박업(일반),시티호텔,충청남도 천안시 서북구 차돌들길 11-4 (쌍용동),충청남도 천안시 서북구 쌍용동 210-33 ,041-592-2125
숙박업(일반),피카소,충청남도 천안시 서북구 성정공원4길 13 (성정동),충청남도 천안시 서북구 성정동 1461 ,041-561-1026
숙박업(일반),프리마모텔,충청남도 천안시 서북구 서부역4길 23 (성정동),충청남도 천안시 서북구 성정동 209-48 ,041-579-6651
숙박업(일반),브라운도트쌍용점,충청남도 천안시 서북구 차돌들길 12-5 (쌍용동),충청남도 천안시 서북구 쌍용동 210-18 ,041-573-6776
