단지명,회사명,공장대표주소(도로명),전화번호
천안산업기술일반산업단지,주식회사 두코,"충청남도 천안시 서북구 직산읍 직산로 136, 생산관 2105호 (직산읍)",1644-3880
천안마정일반산업단지,(주)케이와이컴퍼니,충청남도 천안시 서북구 직산읍 금곡로 52-20,1599-3176
천안산업기술일반산업단지,주식회사 바이콘,"충청남도 천안시 서북구 직산읍 직산로 136, 생산관 2305호",1566-7185
천안산업기술일반산업단지,(주)인피닉스,"충청남도 천안시 서북구 직산읍 직산로 136, 충남테크노파크 영상관 506호",1688-0201
천안산업기술일반산업단지,(주)에스피에스,"충청남도 천안시 서북구 직산읍 직산로 136, 3102호(충남테크노파크 생산관)",070-8871-5835
천안산업기술일반산업단지,(주)젠스,"충청남도 천안시 서북구 직산읍 직산로 136, 생산관 1303호 (직산읍)",070-8676-8100
천안제3일반산업단지,(주)올맥스,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 506호 (백석동)",070-8656-8968
천안제3일반산업단지,테라원테크,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 B동 901호 (백석동)",070-8637-3958
천안산업기술일반산업단지,(주)토비코,충청남도 천안시서북구 직산읍 삼은리 43-5번지 충남테크노파크 번영관 4101~4호,070-8610-0396
천안제3일반산업단지,단디테크,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 B동 806호 (백석동)",070-8292-1451
천안백석농공단지,(주)티에스식스티즈,충청남도 천안시 서북구 백석공단4길 21 (백석동),070-8282-7461
천안산업기술일반산업단지,(주)데이비드텍,"충청남도 천안시 서북구 직산읍 직산로 136, 208호(충남테크노파크 차세대에너지센터)",070-8265-1434
천안제3일반산업단지,(주)화인메디,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 B동 1011,1012호 (백석동)",070-8185-4502
천안제4일반산업단지,(주)에이치비테크놀러지,충청남도 천안시 동남구 풍세면 풍세산단로 50,070-7933-0686
천안산업기술일반산업단지,썬파워테크,"충청남도 천안시 서북구 직산읍 직산로 136, 충남테크노파크 생산관 1층 (천안밸리)",070-7795-2580
천안제4일반산업단지,디알비파텍(주),충청남도 천안시 서북구 직산읍 4산단3로 70,070-7772-9000
천안산업기술일반산업단지,(주)글로벌토크,"충청남도 천안시 서북구 직산읍 직산로 136, 충남테크노파크 번영관 2106호",070-7728-1001
천안백석농공단지,(주)지이글로벌,충청남도 천안시 서북구 백석공단1로 69 (백석동),070-7607-2671
천안산업기술일반산업단지,에이에스엠케이(주),충청남도 천안시서북구 직산읍 삼은리 514번지 충남테크노파크 천안밸리 성공관 1동,070-7596-7800
천안제2일반산업단지,주식회사 브라이트코리아,충청남도 천안시 서북구 2공단7길 66 (업성동),070-7535-4230
천안산업기술일반산업단지,(주)알티에스에너지,"충청남도 천안시 서북구 직산읍 직산로 136 (재)충남테크노파크천안밸리 정보영상융합센터 107호, 108호",070-7425-8690
천안풍세일반산업단지,모트렉스(주),충청남도 천안시 동남구 풍세면 풍세산단4로 62-7,070-7123-1360
천안제3일반산업단지,동원인터비즈(유),"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 813호 (백석동)",070-7122-7501
천안외국인투자지역,하나레이저테크(주),충청남도 천안시 서북구 백석공단7로 72 (백석동),070-7011-1736
천안산업기술일반산업단지,주식회사 유성이앤지,"충청남도 천안시 서북구 직산읍 직산로 136, 정보영상관 317호",070-5165-0505
천안제3일반산업단지,(주)매노팜,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 609호 (백석동)",070-5151-9777
천안제3일반산업단지,(주)매노팜,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 B109호 (백석동)",070-5151-9777
천안제3일반산업단지,사회적협동조합 가온누리 보호작업장,충청남도 천안시 서북구 백석공단1로 10 (백석동) M동 지하1층 B114호 외 1필지,070-5151-8600
천안백석농공단지,주식회사 스페커,충청남도 천안시 서북구 백석공단4길 12 (백석동),070-5089-5124
천안제4일반산업단지,(주)씨지아이,충청남도 천안시 서북구 직산읍 4산단3로 70,070-5066-6274
천안제3일반산업단지,주식회사 티엔에스솔루션,"충청남도 천안시 서북구 백석공단1로 10, B동1008호(백석동, 천안 미래에이스하이테크시티)",070-5022-9144
천안제4일반산업단지,(주)인웍스로봇,"충청남도 천안시 서북구 직산읍 4산단6길 27, 디2동",070-4639-0300
천안제2일반산업단지,주식회사 라파스,충청남도 천안시 서북구 2공단8길 51 (업성동),070-4483-9740
천안산업기술일반산업단지,(주)옵티젠바이오,"충청남도 천안시 서북구 직산읍 직산로 136, 2층 2309호, 2310호(번영관) (천안밸리)",070-4354-1000
천안제5일반산업단지,(주)티아이씨,충청남도 천안시 동남구 성남면 5산단2로 106,070-4341-8512
천안산업기술일반산업단지,(주)도경21,"충청남도 천안시 서북구 직산읍 직산로 136, 생산관 2310호 (직산읍)",070-4334-5097
천안산업기술일반산업단지,(주)아이엔티코리아,"충청남도 천안시 서북구 직산읍 직산로 136, 충남테크노파크 번영관 3202~3203호",070-4324-0880
천안제3일반산업단지,에프디아이,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 607호 (백석동)",070-4294-0914
천안풍세일반산업단지,(주)에코라이프,충청남도 천안시 동남구 풍세면 용정리 1022번지,070-4235-5545
천안제4일반산업단지,(주)제이티,충청남도 천안시 서북구 직산읍 4산단3로 135,070-4172-0100
천안풍세일반산업단지,(주)아이디티코리아,충청남도 천안시 동남구 풍세면 풍세산단3로 20,070-4136-0880
천안산업기술일반산업단지,(주)하이테크미디어,"충청남도 천안시 서북구 직산읍 직산로 136, 충남테크노파크 생산관 3308호",070-4118-0070
천안제5일반산업단지,씨에스앤테크,충청남도 천안시 동남구 성남면 대화리 363번지,070-4117-4432
천안백석농공단지,주식회사 광원,"충청남도 천안시 서북구 백석공단4길 15 (백석동, (주)석천)",070-4055-7702
천안산업기술일반산업단지,나비스퀘어,"충청남도 천안시 서북구, 충남테크노파크 벤처관 1307호 (직산읍)",070-4045-7330
천안제2일반산업단지,주식회사 에스티케이,충청남도 천안시 서북구 2공단3로 59 (업성동),070-4023-1990
천안제3일반산업단지,(주)하이테크오토메이션,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 606호 (백석동)",070-4007-2122
천안제5일반산업단지,(주)에이치피이케이 천안지점,충청남도 천안시 동남구 수신면 5산단5로 15,062-717-2710
천안풍세일반산업단지,일광금속 유한책임회사,충청남도 천안시 동남구 풍세면 보성리 799번지 외 1필지,055-744-2155
천안제3일반산업단지,(주)옥산아이엠티,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 B동 809호 (백석동)",055-580-1500
천안풍세일반산업단지,주식회사 화승티엔드씨,충청남도 천안시 동남구 풍세면 보성리 724번지,055-380-3627
천안제5일반산업단지,제일윈텍(주),충청남도 천안시 동남구 성남면 화성리 477번지,054-587-7024
천안풍세일반산업단지,(주)한주반도체,충청남도 천안시 동남구 풍세면 풍세산단로 199,054-464-2100
천안풍세일반산업단지,씨티에스(주),충청남도 천안시 동남구 풍세면 풍세산단로 226-40,053-593-0777
천안제3일반산업단지,로봇인포(주),"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 712, 713호 (백석동)",053-588-3100
천안제5일반산업단지,(주)삼성하우징 천안공장,충청남도 천안시 동남구 성남면 5산단1로 50,052-227-6370
천안제3일반산업단지,주식회사 로보스타비에스디,"충청남도 천안시 서북구 백석공단1로 10, B동808호(백석동, 천안 미래에이스하이테크시티)",051-715-7901
천안풍세일반산업단지,삼현물산,충청남도 천안시 동남구 풍세면 용정리 992번지,044-566-7211
