업종명,기업체명,소재지,주생산품,전화번호
고무제품 및 플라스틱제품,(주)동아수지산업,충청남도 천안시 서북구 직산읍 금곡로 52-5,플리스틱 및 절연제품가공,041-417-7801
기타제품,KY컴퍼니,충청남도 천안시 서북구 직산읍 금곡로 52-20,마스크,1599-3176
기타기계 및 장비,N&P시스템,충청남도 천안시 서북구 직산읍 금곡로 52-11,자동화기기,070-4352-4760
기타제품,RP이엔지,충청남도 천안시 서북구 직산읍 금곡로 57,특수구조물제작,
고무제품 및 플라스틱제품,남주테크,충청남도 천안시 서북구 직산읍 금곡로 45,기타부품제작,
전기장비,다산이엔지,충청남도 천안시 서북구 직산읍 금곡로 57,전기공급 및 제어장치,
금속가공제품(기계 및 가구제외),대금레이저,충청남도 천안시 동남구 통정1로 27-10(신방동),레이저 절단 물건 제작,041-573-6653
고무제품 및 플라스틱제품,미성테크,충청남도 천안시 서북구 직산읍 금곡로 52-4,플라스틱,041-533-4158
금속가공제품(기계 및 가구제외),백강하이텍,충청남도 천안시 서북구 직산읍 금곡로 57,"기계부품가공, 반도체부품가공",
비금속광물제,성일금속,충청남도 천안시 서북구 직산읍 마정1길 32,특수귀금속,041-621-7721
기타제품,성일정밀,충청남도 천안시 서북구 직산읍 금곡로 52-4,금형,
기타기계 및 장비,세방테크,충청남도 천안시 서북구 직산읍 금곡로 52-6,냉난방설비,
고무제품 및 플라스틱제품,스톤비랩,충청남도 천안시 서북구 직산읍 금곡로 52-21,합성수지 및 기타 플라스틱물질제조,041-583-0601
금속가공제품(기계 및 가구제외),연우테크,충청남도 천안시 서북구 직산읍 마정1길 33,"금속가공, 연삭",
금속가공제품(기계 및 가구제외),와이더블유테크,충청남도 천안시 서북구 직산읍 마정1길 33,기계부품금속가공,
기타기계 및 장비,유니크티에스,충청남도 천안시 서북구 직산읍 마정1길 27,"자동화기계, 식품포장기계",
금속가공제품(기계 및 가구제외),이에스티,충청남도 천안시 서북구 직산읍 마정1길 33,반도체부품가공,
"전자부품, 컴퓨터, 영상, 음향 및 통신장비",제이에스테크,충청남도 천안시 서북구 직산읍 금곡로 57,반도체,
고무제품 및 플라스틱제품,제이에스테크,충청남도 천안시 서북구 직산읍 마정1길 70,플라스틱,
산업용 기계 및 장비수리업,㈜엠엔브이코리아,충청남도 천안시 서북구 직산읍 마정1길 46,산업기계제조,041-522-5652
"전자부품, 컴퓨터, 영상, 음향 및 통신장비",㈜제이림,충청남도 천안시 서북구 직산읍 금곡로 52-15,반도체부품가공,041-415-2529
금속가공제품(기계 및 가구제외),진원테크,충청남도 천안시 서북구 직산읍 마정1길 54,"반도체금형, 자동차부품",
고무제품 및 플라스틱제품,창명산업,충청남도 천안시 서북구 직산읍 마정1길 74,플라스틱성형,041-551-2998
산업용 기계 및 장비수리업,코맥스,충청남도 천안시 서북구 직산읍 금곡로 57,"설계용역, 산업설비기계",
금속가공제품(기계 및 가구제외),쿡메이트,충청남도 천안시 서북구 직산읍 마정1길 38,주방기기,041-584-5554
