연도,계,남자,여자
2013.1/2,294.1,181.4,112.7
2013.2/2,297.3,185.8,111.5
2014.1/2,302.6,187.7,114.9
2014.2/2,308.7,188.2,120.6
2015.1/2,312.3,191.1,121.2
2015.2/2,310.3,194.5,115.8
2016.1/2,314.6,195,119.6
2016.2/2,320.6,200.6,120
2017.1/2,335.4,206.7,128.7
2017.2/2,345.7,211.1,134.6
2018.1/2,346,212.4,133.6
2018.2/2,362.2,221.4,140.9
2019.1/2,372.5,225.1,147.5
2019.2/2,376,226.3,149.7
2020.1/2,371.5,223.7,147.8
2020.2/2,377.3,226,151.3
2021.1/2,371.2,226,145.2
2021.2/2,377.7,229.3,148.5
2022.1/2,378.4,229,149.4
2022.2/2,385,229.7,155.3
