상호,운영시간,업종,도로명주소,지번주소,전화번호,위도,경도
은성다방,09:00~21:00,식당/음식,충청남도 천안시 동남구 공설시장1길 2,충청남도 천안시 동남구 대흥동 63-3,041-552-6630,36.80920505,127.1489003
서경석안경원,09:00~20:00,생활서비스,충청남도 천안시 동남구 공설시장1길 2,충청남도 천안시 동남구 대흥동 63-3,041-562-4625,36.8092055,127.1488997
공실 1,공실,기타,충청남도 천안시 동남구 공설시장1길 2,충청남도 천안시 동남구 대흥동 63-3,,36.80921133,127.1488402
공실 2,공실,기타,충청남도 천안시 동남구 공설시장1길 2,충청남도 천안시 동남구 대흥동 63-3,,36.80920264,127.1489265
결혼상담소,미영업,기타,충청남도 천안시 동남구 공설시장1길 2,충청남도 천안시 동남구 대흥동 63-3,041-553-7865,36.8092026,127.1489264
알에스전기통신,미영업,생활서비스,충청남도 천안시 동남구 공설시장1길 2,충청남도 천안시 동남구 대흥동 63-3,041-567-3398,36.80921163,127.1488402
서울꽃화원,08:00~19:00,기타,충청남도 천안시 동남구 공설시장1길 4,충청남도 천안시 동남구 대흥동 63-27,041-555-4000,36.80926494,127.1488626
DC천원마트,09:00~20:00,생활용품,충청남도 천안시 동남구 공설시장1길 4,충청남도 천안시 동남구 대흥동 63-27,,36.80928819,127.1489187
속옷나라,09:00~20:00,의류/잡화,충청남도 천안시 동남구 공설시장1길 4-1,충청남도 천안시 동남구 대흥동 63-20,041-522-9713,36.80936927,127.1489527
공실 3,공실,기타,충청남도 천안시 동남구 공설시장1길 6,충청남도 천안시 동남구 대흥동 63-5,,36.80944385,127.1490027
공실 4,공실,기타,충청남도 천안시 동남구 공설시장3길 10,충청남도 천안시 동남구 대흥동 63-57,,36.80958311,127.1489789
공실 5,공실,기타,충청남도 천안시 동남구 공설시장3길 10,충청남도 천안시 동남구 대흥동 63-57,,36.809578,127.1490667
공실 6,공실,기타,충청남도 천안시 동남구 공설시장3길 10,충청남도 천안시 동남구 대흥동 63-57,,36.80955462,127.1491643
공실 7,공실,기타,충청남도 천안시 동남구 공설시장3길 10,충청남도 천안시 동남구 대흥동 63-57,,36.80952699,127.1492732
공실 8,공실,기타,충청남도 천안시 동남구 공설시장3길 10,충청남도 천안시 동남구 대흥동 63-57,,36.80945595,127.1492835
어거스트센트,"평일 11:00~20:30, 주말 13:00~20:30, 월 휴무",식당/음식,충청남도 천안시 동남구 공설시장2길 9-2,충청남도 천안시 동남구 대흥동 63-56,,36.80958256,127.1495708
나인상사,미영업,기타,충청남도 천안시 동남구 공설시장3길 12,충청남도 천안시 동남구 대흥동 63-67,,36.80959722,127.1494886
대호갈비,10:00~22:00,식당/음식,충청남도 천안시 동남구 공설시장3길 12,충청남도 천안시 동남구 대흥동 63-56,041-564-0790,36.80965881,127.1495082
조경상회,06:00~20:00,축산물,충청남도 천안시 동남구 공설시장3길 12,충청남도 천안시 동남구 대흥동 63-66,041-551-5189,36.80972137,127.1495542
광천상회,07:00~19:00,수산물,충청남도 천안시 동남구 공설시장3길 12,충청남도 천안시 동남구 대흥동 63-56,041-551-2798,36.80983439,127.1495745
오복갈비,17:00~21:30,식당/음식,충청남도 천안시 동남구 공설시장3길 11,충청남도 천안시 동남구 대흥동 12,041-564-0790,36.81016775,127.1496067
한식이활어회,11:00~23:00,식당/음식,충청남도 천안시 동남구 공설시장3길 12,충청남도 천안시 동남구 대흥동 63-66,,36.80990153,127.1496016
공실 9,공실,기타,충청남도 천안시 동남구 공설시장3길 10,충청남도 천안시 동남구 대흥동 63-1,,36.80992161,127.1493727
공실 10,공실,기타,충청남도 천안시 동남구 공설시장3길 10,충청남도 천안시 동남구 대흥동 63-71,,36.80984747,127.1493402
공실 11,공실,기타,충청남도 천안시 동남구 공설시장3길 10,충청남도 천안시 동남구 대흥동 63-73,,36.80978979,127.14932
은혜네손칼국수,11:00~15:00,식당/음식,충청남도 천안시 동남구 공설시장3길 10,충청남도 천안시 동남구 대흥동 63-57,041-568-5528,36.80970401,127.1492955
공실 12,공실,기타,충청남도 천안시 동남구 공설시장3길 10,충청남도 천안시 동남구 대흥동 63-57,,36.80964308,127.1492591
은광세탁소,09:00~20:00,생활서비스,충청남도 천안시 동남구 공설시장3길 10,충청남도 천안시 동남구 대흥동 63-57,041-568-0164,36.80967291,127.149139
이맛이야,11:00~20:00,식당/음식,충청남도 천안시 동남구 공설시장1길 8,충청남도 천안시 동남구 대흥동 65,,36.80976123,127.1491391
세계문화교육체험관,09:00~18:00,기타,충청남도 천안시 동남구 공설시장1길 8,충청남도 천안시 동남구 대흥동 65,,36.809761,127.1491393
붐비나,10:00~18:00,의류/잡화,충청남도 천안시 동남구 공설시장1길 10,충청남도 천안시 동남구 대흥동 66,041-264-3988,36.80984596,127.1490807
중앙식품슈퍼마켓,07:00~21:00,마트/식품,충청남도 천안시 동남구 공설시장1길 12,충청남도 천안시 동남구 대흥동 67,041-551-0090,36.80992823,127.1491205
대산정육점,08:00~18:30,축산물,충청남도 천안시 동남구 공설시장3길 8,충청남도 천안시 동남구 대흥동 68,041-551-2710,36.81001967,127.1491287
최인혜 미용실,08:00~19:00,생활서비스,충청남도 천안시 동남구 공설시장3길 8,충청남도 천안시 동남구 대흥동 68,041-562-5733,36.81001534,127.1491701
민지네생선조림,09:00~21:00,식당/음식,충청남도 천안시 동남구 공설시장3길 8,충청남도 천안시 동남구 대흥동 68,041-552-3888,36.81000282,127.1492277
공실 13,공실,기타,충청남도 천안시 동남구 공설시장3길 10,충청남도 천안시 동남구 대흥동 63-69,,36.81000091,127.1492983
공실 14,공실,기타,충청남도 천안시 동남구 공설시장3길 10,충청남도 천안시 동남구 대흥동 63-68,,36.80998618,127.1493608
추억만들기,미영업,식당/음식,충청남도 천안시 동남구 공설시장3길 14,충청남도 천안시 동남구 대흥동 70-9,041-569-8756,36.80984333,127.1496878
COZY,10:00~20:00,기타,충청남도 천안시 동남구 공설시장3길 14,충청남도 천안시 동남구 대흥동 70-9,041-555-4264,36.80984334,127.1496874
공실 15,공실,기타,충청남도 천안시 동남구 공설시장3길 14,충청남도 천안시 동남구 대흥동 70-9,,36.80984337,127.1496874
공실 16,공실,기타,충청남도 천안시 동남구 공설시장3길 14,충청남도 천안시 동남구 대흥동 70-9,,36.80984375,127.1496872
공실 17,공실,기타,충청남도 천안시 동남구 공설시장3길 14,충청남도 천안시 동남구 대흥동 70-9,,36.80984376,127.1496872
청담구제,11:00~19:00,의류/잡화,충청남도 천안시 동남구 공설시장2길 15,충청남도 천안시 동남구 대흥동 10-12,,36.81006155,127.1498843
카페(고객쉼터),미영업,식당/음식,충청남도 천안시 동남구 공설시장2길 15,충청남도 천안시 동남구 대흥동 10-12,,36.81006173,127.1498844
교육장(힐링센터),미영업,기타,충청남도 천안시 동남구 공설시장2길 15,충청남도 천안시 동남구 대흥동 10-12,,36.81006161,127.1498844
충청남도경제진흥원,미영업,기타,충청남도 천안시 동남구 공설시장2길 15,충청남도 천안시 동남구 대흥동 10-12,,36.81009342,127.1499008
역전시장 상인회,미영업,기타,충청남도 천안시 동남구 공설시장2길 15,충청남도 천안시 동남구 대흥동 10-12,,36.81002702,127.149867
건강지압원,미영업,생활서비스,충청남도 천안시 동남구 공설시장3길 13,충청남도 천안시 동남구 대흥동 10-11,041-576-3633,36.8100936,127.1497806
공실 18,공실,기타,충청남도 천안시 동남구 공설시장3길 13,충청남도 천안시 동남구 대흥동 10-11,,36.81011108,127.1497229
한진닭집,미영업,식당/음식,충청남도 천안시 동남구 공설시장3길 9-2,충청남도 천안시 동남구 대흥동 13-3,041-551-4214,36.81011412,127.1494522
공실 19,공실,기타,충청남도 천안시 동남구 공설시장3길 9,충청남도 천안시 동남구 대흥동 13-2,,36.81011292,127.1494052
공실 20,공실,기타,충청남도 천안시 동남구 공설시장3길 9,충청남도 천안시 동남구 대흥동 13-2,,36.81011309,127.1494053
대성관,10:00~19:30,식당/음식,충청남도 천안시 동남구 공설시장3길 7,충청남도 천안시 동남구 대흥동 14,041-555-5365,36.81015022,127.1492936
공실 21,공실,기타,충청남도 천안시 동남구 공설시장3길 7,충청남도 천안시 동남구 대흥동 14,,36.81015913,127.149262
명보수선,09:30~19:00,생활서비스,충청남도 천안시 동남구 공설시장3길 7,충청남도 천안시 동남구 대흥동 14,041-522-4898,36.81017067,127.1492007
중국번역,미영업,생활서비스,충청남도 천안시 동남구 공설시장1길 14,충청남도 천안시 동남구 대흥동 15-1,,36.81024006,127.1492477
대나무삼겹살전문,10:00~22:00,식당/음식,충청남도 천안시 동남구 공설시장1길 14,충청남도 천안시 동남구 대흥동 15-1,041-566-2028,36.81027196,127.1492729
"중앙1,2경로당",미영업,기타,충청남도 천안시 동남구 공설시장1길 14,충청남도 천안시 동남구 대흥동 15-1,041-557-3390,36.81031983,127.1492401
송현농원,09:00~18:00,의료/건강,충청남도 천안시 동남구 공설시장3길 9-1,충청남도 천안시 동남구 대흥동 16,041-567-4979,36.81034259,127.1492526
