상호,운영시간,업종,도로명주소,지번주소,전화번호,위도,경도
청년상회,월~토10:00~18:30,농산물/청과,충청남도 천안시 동남구 대흥로 119,충청남도 천안시 동남구 사직동 284-1,,36.80013883,127.1494653
아시아마트,09:00~21:00,마트/식품,충청남도 천안시 동남구 대흥로 119,충청남도 천안시 동남구 사직동 284-1,041-564-6688,36.80017578,127.1494013
남산계란,08:30~19:30,축산물,충청남도 천안시 동남구 대흥로 119,충청남도 천안시 동남구 사직동 284-1,041-555-0379,36.800197,127.1493332
공원다방,09:00~18:30,기타,충청남도 천안시 동남구 대흥로 119,충청남도 천안시 동남구 사직동 284-1,041-567-9797,36.80013883,127.1494653
광제당한의원,평일 09:00~19:00토요일 09:00~13:00일요일/공휴일 휴진,의료/건강,충청남도 천안시 동남구 대흥로 119,충청남도 천안시 동남구 사직동 284-1,041-563-1093,36.80013883,127.1494653
공실6,공실,기타,충청남도 천안시 동남구 대흥로 119,충청남도 천안시 동남구 사직동 284-1,,36.80013883,127.1494653
일등텔레콤사직본점,10:00~20:00,전기/가전,충청남도 천안시 동남구 대흥로 122,충청남도 천안시 동남구 사직동 202-22,041-556-2288,36.80049279,127.1491458
또와분식,09:00~19:00,식당/음식,충청남도 천안시 동남구 대흥로 122,충청남도 천안시 동남구 사직동 202-22,,36.80043279,127.1492376
수제떡갈비1982천안점,폐업,식당/음식,충청남도 천안시 동남구 대흥로 122,충청남도 천안시 동남구 사직동 202-22,041-555-2293,36.80039052,127.1493198
복권판매점,09:40~20:40,기타,충청남도 천안시 동남구 대흥로 122,충청남도 천안시 동남구 사직동 202-22,041-554-1259,36.80037459,127.1494022
공실11,공실,기타,충청남도 천안시 동남구 대흥로 122,충청남도 천안시 동남구 사직동 202-22,,36.80037459,127.1494436
엘지식품,08:00~18:30,마트/식품,충청남도 천안시 동남구 사직로 3,충청남도 천안시 동남구 사직동 202-21,041-562-1391,36.8003466,127.1494777
소문난홍어무침게장전문,09:30~18:30,식당/음식,충청남도 천안시 동남구 사직로 3,충청남도 천안시 동남구 사직동 202-21,,36.80040407,127.1494413
LGU+,09:00~19:30,전기/가전,충청남도 천안시 동남구 사직로 3,충청남도 천안시 동남구 사직동 202-21,041-562-1391,36.80050321,127.1494565
