상호,운영시간,업종,도로명주소,지번주소,전화번호,위도,경도
찐흑염소,09:00~18:00,의료/건강,충청남도 천안시 서북구 성환읍 성환12길 11,충청남도 천안시 서북구 성환읍 성환리 449,041-583-3800,36.9175816,127.1292653
신원육가공 직영점,11:00~23:00,축산물,충청남도 천안시 서북구 성환읍 성환12길 13,충청남도 천안시 서북구 성환읍 성환리 449-510,041-582-1616,36.9175845,127.1294164
정육식당,11:00-23:00,식당/음식,충청남도 천안시 서북구 성환읍 성환12길 13,충청남도 천안시 서북구 성환읍 성환리 449-510,041-582-1616,36.9176039,127.129518
이화막곱창,09:30~22:00,식당/음식,충청남도 천안시 서북구 성환읍 성환12길 13-2,충청남도 천안시 서북구 성환읍 성환리 449-506,041-588-5009,36.9175781,127.1295828
순영미용실,임시 영업 중단,생활서비스,충청남도 천안시 서북구 성환읍 성환12길 13-4,충청남도 천안시 서북구 성환읍 성환리 449-6,041-584-7494,36.91781496,127.1295048
해동집,07:00~19:00,식당/음식,충청남도 천안시 서북구 성환읍 성환12길 13-6,충청남도 천안시 서북구 성환읍 성환리 449-6,041-585-9600,36.9179609,127.1294737
제일닭집,06:00~21:00,축산물,충청남도 천안시 서북구 성환읍 성환12길 13-12,충청남도 천안시 서북구 성환읍 성환리 449-6,041-582-4203,36.91810406,127.1295197
제일한복,09:00~19:00,의류/잡화,충청남도 천안시 서북구 성환읍 성환시장길 4,충청남도 천안시 서북구 성환읍 성환리 449-6,041-581-5290,36.91795839,127.1297481
조양상회,09:00~19:00,의류/잡화,충청남도 천안시 서북구 성환읍 성환시장길 3,충청남도 천안시 서북구 성환읍 성환리 449-135,041-581-2402,36.91790819,127.1297484
장미의류,09:00~19:00,의류/잡화,충청남도 천안시 서북구 성환읍 성환시장길 1,충청남도 천안시 서북구 성환읍 성환리 449-6,041-581-2078,36.91780576,127.1297507
떡먹는 날,08:00~19:00,식당/음식,충청남도 천안시 서북구 성환읍 성환12길 15-1,충청남도 천안시 서북구 성환읍 성환리 449-503,041-585-7989,36.9175731,127.1297475
CU,00:00~24:00,마트/식품,충청남도 천안시 서북구 성환읍 성환12길 15,충청남도 천안시 서북구 성환읍 성환리 449-504,041-581-4080,36.91759388,127.1296489
성환신발,08:00~17:00,의류/잡화,충청남도 천안시 서북구 성환읍 성환시장길 6,충청남도 천안시 서북구 성환읍 성환리 449-6,041-581-2602,36.9180129,127.1297854
현대수선,09:00~18:00,생활서비스,충청남도 천안시 서북구 성환읍 성환시장길 6,충청남도 천안시 서북구 성환읍 성환리 449-652,041-581-3545,36.9180479,127.1297702
형제종합설비,08:00~20:00,전기/가전,충청남도 천안시 서북구 성환읍 성환중앙로 43-5,충청남도 천안시 서북구 성환읍 성환리 449-652,041-581-2443,36.91808399,127.1298
약속식당,11:00~19:00,식당/음식,충청남도 천안시 서북구 성환읍 성환중앙로 43-3,충청남도 천안시 서북구 성환읍 성환리 449-652,041-581-4516,36.9180549,127.1300194
갯마을식당,11:00~19:00,식당/음식,충청남도 천안시 서북구 성환읍 성환중앙로 43-3,충청남도 천안시 서북구 성환읍 성환리 449-652,041-581-2789,36.9179972,127.1300417
보장 달팽이건강원,09:00~17:00,의료/건강,충청남도 천안시 서북구 성환읍 성환중앙로 43-4,충청남도 천안시 서북구 성환읍 성환리 449-352,041-582-1713,36.9180579,127.1300688
소라네반찬집,09:00~19:00,마트/식품,충청남도 천안시 서북구 성환읍 성환시장길 8-4,충청남도 천안시 서북구 성환읍 성환리 449-135,041-588-4040,36.9181312,127.1299825
성환기름집,08:00~18:00,마트/식품,충청남도 천안시 서북구 성환읍 성환시장길 8-4,충청남도 천안시 서북구 성환읍 성환리 449-135,041-582-1820,36.9183496,127.1300927
금성지업사,07:30~20:00,기타,충청남도 천안시 서북구 성환읍 성환시장길 8-1,충청남도 천안시 서북구 성환읍 성환리 449-733,041-581-7797,36.91818957,127.1298477
금성닭집,07:00~20:00,축산물,충청남도 천안시 서북구 성환읍 성환시장길 8-1,충청남도 천안시 서북구 성환읍 성환리 449-135,041-581-2719,36.9181607,127.1299997
시장이용원,08:00~18:00,생활서비스,충청남도 천안시 서북구 성환읍 성환시장길 8-1,충청남도 천안시 서북구 성환읍 성환리 449-135,041-581-7088,36.9182865,127.1300866
유일상회,08:00~18:00,농산물/청과,충청남도 천안시 서북구 성환읍 성환시장길 12,충청남도 천안시 서북구 성환읍 성환리 449-135,041-581-9370,36.9185177,127.1299507
성환옛날국밥집,07:00~20:00,식당/음식,충청남도 천안시 서북구 성환읍 성환시장길 12,충청남도 천안시 서북구 성환읍 성환리 449-135,041-588-5533,36.9185715,127.129954
장옥흙홍삼보신탕,16:00~22:00,식당/음식,충청남도 천안시 서북구 성환읍 성환시장길 14,충청남도 천안시 서북구 성환읍 성환리 449-135,,36.9185813,127.1299661
영월식당,12:00~20:00,식당/음식,충청남도 천안시 서북구 성환읍 성환시장길 14,충청남도 천안시 서북구 성환읍 성환리 449-135,041-581-0402,36.9188443,127.1301089
부영쌀상회,07:00~19:00,농산물/청과,충청남도 천안시 서북구 성환읍 성환시장길 8-7,충청남도 천안시 서북구 성환읍 성환리 449-141,041-581-2357,36.9186954,127.130348
중앙식당,08:00~20:00,식당/음식,충청남도 천안시 서북구 성환읍 성환시장길 8-7,충청남도 천안시 서북구 성환읍 성환리 449-141,041-581-2555,36.9184614,127.1301829
정희네옷수선,08:00~17:00,생활서비스,충청남도 천안시 서북구 성환읍 성환시장길 12,충청남도 천안시 서북구 성환읍 성환리 449-135,,36.9184702,127.1302066
성환유리,08:00~20:00,기타,충청남도 천안시 서북구 성환읍 성환시장길 12,충청남도 천안시 서북구 성환읍 성환리 449-135,041-581-2143,36.9184508,127.1302358
동화상회,08:00~18:00,농산물/청과,충청남도 천안시 서북구 성환읍 성환시장길 12,충청남도 천안시 서북구 성환읍 성환리 449-135,041-581-1563,36.918355,127.1300996
현대미용실,08:00~17:00,생활서비스,충청남도 천안시 서북구 성환읍 성환중앙로 49-4,충청남도 천안시 서북구 성환읍 성환리 449-535,,36.9185011,127.1304256
장터보리밥집,11:30~19:00,식당/음식,충청남도 천안시 서북구 성환읍 성환중앙로 49-6,충청남도 천안시 서북구 성환읍 성환리 449-534,041-582-0605,36.9184309,127.1303463
오복떡집,06:00~19:00,마트/식품,충청남도 천안시 서북구 성환읍 성환중앙로 49-6,충청남도 천안시 서북구 성환읍 성환리 449-534,041-582-0863,36.91856745,127.1304026
성환닭집,10:00~17:00,축산물,충청남도 천안시 서북구 성환읍 성환시장길 8-10,충청남도 천안시 서북구 성환읍 성환리 449-747,041-581-2401,36.91861588,127.1304357
장터정육점,06:00~19:00,축산물,충청남도 천안시 서북구 성환읍 성환시장길 8-12,충청남도 천안시 서북구 성환읍 성환리 449-501,041-581-3287,36.91865624,127.1304795
장터가마솥국밥,10:00-21:00,식당/음식,충청남도 천안시 서북구 성환읍 성환시장길 8-14,충청남도 천안시 서북구 성환읍 성환리 345-5,041-585-0098,36.91873872,127.1308726
원조순대국첫번째집,06:00~22:00,식당/음식,충청남도 천안시 서북구 성환읍 성환시장길 8-9,충청남도 천안시 서북구 성환읍 성환리 449-1,,36.9187518,127.1304177
원조순대국두번째집,06:00~22:00,식당/음식,충청남도 천안시 서북구 성환읍 성환시장길 8-11,충청남도 천안시 서북구 성환읍 성환리 449-1,041-581-8822,36.91879212,127.1304196
엄니순대,07:00~20:00,식당/음식,충청남도 천안시 서북구 성환읍 성환시장길 8-11,충청남도 천안시 서북구 성환읍 성환리 449-1,041-581-4350,36.9189341,127.1306109
맛 순대 국밥,(평소)09:00~19:00(장날 전)09:00~20:00물건 소진 시 조기종료,식당/음식,충청남도 천안시 서북구 성환읍 성환시장길 8-11,충청남도 천안시 서북구 성환읍 성환리 449-1,041-581-8722,36.918873,127.1307174
