상호,운영시간,업종,도로명주소,지번주소,전화번호,위도,경도
한인테리어,미영업,기타,충청남도 천안시 서북구 양지21길 5,충청남도 천안시 서북구 성정동 726-12,,36.81348216,127.1371645
스마일LED,"월 ~ 금 09:00~18:00, 토 09:00~12:00",전기/가전,충청남도 천안시 서북구 양지21길 5,충청남도 천안시 서북구 성정동 726-12,041-579-2440,36.81343711,127.1371616
달팽이커피앤필름,10:00~20:00,식당/음식,충청남도 천안시 서북구 양지21길 5,충청남도 천안시 서북구 성정동 726-12,041-556-3533,36.81336049,127.1371839
쌍용스토아,00:00~24:00,마트/식품,충청남도 천안시 서북구 성정로 64,충청남도 천안시 서북구 성정동 726-1,041-576-7008,36.81368935,127.1372265
화로담,15:00~24:00,식당/음식,충청남도 천안시 서북구 성정로 66,충청남도 천안시 서북구 성정동 726-17,041-579-1093,36.81367338,127.1373946
신화철물전기,07:30~20:00,전기/가전,충청남도 천안시 서북구 성정로 68,충청남도 천안시 서북구 성정동 726-2,041-573-2678,36.81368673,127.1375403
삼성커텐블라인드,09:00~19:00,침구/주단,충청남도 천안시 서북구 성정로 70,충청남도 천안시 서북구 성정동 726-13,041-553-6009,36.81369556,127.1376944
말자싸롱,미영업,식당/음식,충청남도 천안시 서북구 성정로 72,충청남도 천안시 서북구 성정동 726-14,041-577-6336,36.81369313,127.1378541
큐노래연습장,미영업,기타,충청남도 천안시 서북구 성정로 70,충청남도 천안시 서북구 성정동 726-13,041-574-8428,36.81366403,127.1376915
공실1,공실,기타,충청남도 천안시 서북구 성정로 70,충청남도 천안시 서북구 성정동 726-13,,36.81366403,127.1376915
영다방,11:00~22:00,식당/음식,충청남도 천안시 서북구 성정로 70,충청남도 천안시 서북구 성정동 726-13,041-576-9966,36.81366403,127.1376915
국민부동산,08:30~22:00,생활서비스,충청남도 천안시 서북구 성정로 70,충청남도 천안시 서북구 성정동 726-13,041-576-8982,36.81370002,127.1377364
김밥마을,07:00~20:00,식당/음식,충청남도 천안시 서북구 성정로 74,충청남도 천안시 서북구 성정동 726-4,041-573-8091,36.81367934,127.1380838
CLICK,10:00~19:00,의류/잡화,충청남도 천안시 서북구 성정로 72,충청남도 천안시 서북구 성정동 726-14,041-575-8290,36.81369542,127.1378205
저잣거리,화~일 12:00~21:00,식당/음식,충청남도 천안시 서북구 성정로 72,충청남도 천안시 서북구 성정동 726-14,041-414-0266,36.81369095,127.1377897
수제담뱃잎,월~토 11:00~20:00,기타,충청남도 천안시 서북구 성정로 72,충청남도 천안시 서북구 성정동 726-14,,36.81369308,127.1378961
수지곱창,화~일 16:00~23:00,식당/음식,충청남도 천안시 서북구 성정로 72,충청남도 천안시 서북구 성정동 726-14,041-415-0277,36.81369075,127.1379578
멋쟁이헤어샵,10:00~20:30,생활서비스,충청남도 천안시 서북구 성정로 74,충청남도 천안시 서북구 성정동 726-4,041-572-9977,36.81368164,127.1380418
세니떼뷰티샵,월~토 09:30~20:00,생활서비스,충청남도 천안시 서북구 성정로 74,충청남도 천안시 서북구 성정동 726-4,041-573-2337,36.81367253,127.1381286
뽀끼뽀꼬,00:00~24:00,기타,충청남도 천안시 서북구 성정로 74,충청남도 천안시 서북구 성정동 726-4,,36.81367923,127.1381763
치킨마트,18:00~06:00,식당/음식,충청남도 천안시 서북구 성정로 74,충청남도 천안시 서북구 성정동 726-4,041-577-7850,36.81367469,127.1382127
고향떡,07:00~22:00,식당/음식,충청남도 천안시 서북구 성정로 76,충청남도 천안시 서북구 성정동 726-5,041-573-5058,36.81366999,127.1383752
파리바게트,07:00~23:00,식당/음식,충청남도 천안시 서북구 성정로 76,충청남도 천안시 서북구 성정동 726-5,041-573-0052,36.81367457,127.1383136
오구쌀피자,12:00~23:00,식당/음식,충청남도 천안시 서북구 성정로 76,충청남도 천안시 서북구 성정동 726-5,041-592-1919,36.8136722,127.1384116
속옷세상,09:00~21:00,의류/잡화,충청남도 천안시 서북구 성정로 78,충청남도 천안시 서북구 성정동 727-1,041-572-4588,36.81366765,127.1384508
따봉청과,08:30~22:00,농산물/청과,충청남도 천안시 서북구 성정로 76,충청남도 천안시 서북구 성정동 726-5,041-572-3776,36.81361584,127.1384507
아랑주,09:30~21:00,침구/주단,충청남도 천안시 서북구 성정로 76,충청남도 천안시 서북구 성정동 726-5,041-572-3277,36.81355951,127.1384562
신나남노래교실,화요일 13:00~20:00,기타,충청남도 천안시 서북구 성정로 76,충청남도 천안시 서북구 성정동 726-5,041-576-2205,36.81350544,127.1384646
오단지생막창,화~일 11:00~01:00,식당/음식,충청남도 천안시 서북구 성정로 76,충청남도 천안시 서북구 성정동 726-5,041-578-0513,36.81341758,127.1384644
행복한튀김세상,09:00~20:30,식당/음식,충청남도 천안시 서북구 성정로 76,충청남도 천안시 서북구 성정동 726-5,041-572-5827,36.81339054,127.1384643
5단지건어물,월 ~ 토 09:00~20:00,수산물,충청남도 천안시 서북구 성정로 76,충청남도 천안시 서북구 성정동 726-5,041-572-5778,36.81334549,127.1384643
비비헤어샵염색만원,화~일 10:00~20:00,생활서비스,충청남도 천안시 서북구 성정로 76,충청남도 천안시 서북구 성정동 726-5,041-577-9630,36.8133162,127.1384698
밥도둑젓갈,화~일 10:00~20:00,식당/음식,충청남도 천안시 서북구 성정로 76,충청남도 천안시 서북구 성정동 726-5,041-577-9630,36.8133162,127.1384698
개목상회,09:00~22:30,농산물/청과,충청남도 천안시 서북구 양지22길 37,충청남도 천안시 서북구 성정동 726-6,041-573-6879,36.81327791,127.1384585
노블헤어,10:00~20:00,생활서비스,충청남도 천안시 서북구 양지22길 33-1,충청남도 천안시 서북구 성정동 726-8,,36.81331222,127.1380159
